Animal;Baseline Salinity Group;Response 0.7%;Response 1.4%;Response 1.9%;Response 2.4%;Response 3.4%;Control 0.7%;Control 1.4%;Control 1.9%;Control 2.4%;Control 3.4%
20;1,9%;;5,0;8,4;;;;6,4;;;
21;1,9%;2,8;7,2;15,0;12,0;13,0;6,0;9,2;;12,0;15,0
22;1,9%;5,3;8,4;15,0;11,0;12,0;7,0;9,8;;11,6;15,0
23;1,9%;4,0;7,0;11,0;9,0;9,0;5,6;8,0;;9,4;11,0
55;1,9%;4,4;;6,4;6,4;6,8;5,6;;;6,4;6,4
56;1,9%;;9,6;12,8;12,4;12,8;;11,2;;12,4;12,8
57;1,9%;4,5;;10,6;10,0;10,4;10,0;;;10,4;10,6
58;1,9%;6,4;11,0;15,0;16,0;16,0;12,0;13,5;;15,0;15,0
59;1,9%;5,6;10,4;11,0;12,8;12,8;10,8;12,4;;11,6;11,0
61;1,9%;7,2;13,0;16,0;15,0;15,0;14,5;14,0;;14,5;16,0
63;1,9%;6,8;11,5;16,5;14,0;15,5;13,0;14,0;;13,0;16,5
64;1,9%;6,0;9,6;10,0;7,2;6,4;8,4;10,0;;6,8;6,8
65;1,9%;4,8;9,6;14,0;9,2;8,8;10,0;11,2;;8,4;9,2
66;1,9%;5,2;8,4;11,6;9,2;8,4;10,0;10,4;;8,4;8,4
69;1,9%;;;10,8;8,0;8,8;;;;7,4;8,8
70;1,9%;;4,2;10,0;;;;6,0;;;
81;1,9%;3,2;5,8;7,8;8,0;6,4;7,0;7,0;;7,8;7,5
82;1,9%;4,0;;7,6;;6,0;5,2;;;;7,6
8;2,4%;3,0;;;14,0;10,0;5,8;;;;14,0
9;2,4%;5,0;;;15,0;14,0;12,0;;;;15,0
10;2,4%;1,5;;;9,6;9,2;6,2;;;;9,6
14;2,4%;2,7;7,2;12,0;15,0;16,0;1,2;11,0;13,0;;15,0
15;2,4%;;;7,2;11,0;11,0;;;8,0;;11,0
16;2,4%;2,4;6,0;10,0;12,4;13,2;5,5;8,0;10,8;;12,4
35;2,4%;;4,8;9,5;17,0;;;6,4;12,0;;
36;2,4%;3,2;;;9,2;;6,4;;;;
38;2,4%;6,0;9,0;8,2;18,0;14,5;9,0;13,0;11,0;;16,0
44;2,4%;3,2;5,0;6,1;6,4;6,4;5,6;6,0;6,6;;6,4
45;2,4%;;;5,2;9,4;8,0;;;6,0;;8,0
46;2,4%;4,2;4,6;6,0;12,0;9,6;6,6;6,0;7,0;;10,0
48;2,4%;2,0;4,6;8,4;10,4;;5,6;6,6;9,2;;
49;2,4%;7,2;8,8;10,6;13,0;13,0;10,0;10,8;11,2;;13,0
52;2,4%;;8,0;8,8;11,2;8,4;;11,2;9,6;;8,4
53;2,4%;4,8;8,8;10,2;12,0;10,0;10,8;12,4;12,4;;9,6
89;2,4%;3,2;5,6;10,0;12,0;11,8;6,0;9,2;11,2;;12,0
90;2,4%;;;4,8;14,0;12,0;;;6,0;;12,0
4;3,4%;4,4;9,2;;11,0;13,0;6,6;10,0;;11,0;
11;3,4%;5,2;;;14,0;17,0;12,4;;;16,0;
12;3,4%;3,0;6,6;9,6;12,0;13,2;8,4;10,0;12,8;13,2;
13;3,4%;;;4,8;13,0;17,8;;;6,0;16,0;
17;3,4%;;;8,6;15,0;18,0;;;12,0;17,0;
18;3,4%;4,4;8,6;10,5;13,0;16,0;10,0;11,0;13,5;15,0;
19;3,4%;;;9,6;10,8;15,0;;;10,6;13,6;
24;3,4%;;;8,0;4,4;7,6;;;9,2;6,0;
25;3,4%;;5,6;;11,0;13,0;;7,0;;12,0;
26;3,4%;2,8;4,4;5,2;7,2;13,5;8,0;7,8;10,0;10,8;
27;3,4%;;5,0;;;18,0;;6,6;;;
28;3,4%;;4,4;7,0;;11,2;;6,6;8,4;;
29;3,4%;4,6;6,6;;;9,8;8,0;9,8;;;
30;3,4%;;5,2;11,0;14,0;17,0;;8,2;14,0;17,0;
31;3,4%;6,5;8,5;12,5;;17,0;14,0;14,0;16,0;;
32;3,4%;5,0;5,6;7,8;;10,6;10,8;8,4;9,6;;
33;3,4%;8,5;8,0;8,4;9,2;14,0;13,0;11,0;11,0;11,0;
34;3,4%;5,2;7,8;9,2;11,4;12,0;12,0;13,2;13,2;13,2;
72;3,4%;;;;7,6;16,0;;;;11,6;
73;3,4%;9,0;13,0;6,8;7,4;18,0;16,0;17,5;8,8;8,0;
